,importance
ionic_radius_pm_cn8,0.30594197
charge_density_z_per_pm3,0.17970622
aromaticity,0.07902551
ef1_motif_pos5_T,0.052023534
atomic_number,0.034052994
length,0.022340314
ef4_motif_pos2_K,0.012281354
ef3_motif_pos2_MISSING,0.011388997
ef2_motif_pos2_H,0.010762693
ef4_motif_pos2_N,0.010525891
ef2_motif_pos2_N,0.010442968
gravy,0.009885096
ef2_motif_pos0_S,0.009684498
ef3_motif_pos2_T,0.008761154
pct_N,0.007955182
isoelectric_point,0.0075872308
charge_at_pH7,0.007447171
ef2_motif_pos2_A,0.007140516
pct_D,0.0068753436
ef3_motif_pos0_A,0.0068388344
ef4_motif_pos0_P,0.006630589
ef2_motif_pos0_R,0.006449926
ef2_motif_pos2_S,0.005721755
ef4_motif_pos2_S,0.0056398087
ef1_motif_pos0_L,0.0055469656
ef1_motif_pos5_MISSING,0.005187416
pct_K,0.0051813317
ef_hand_spacing_stdev,0.0051398515
ef1_motif_pos2_H,0.0050361175
ef3_motif_pos2_H,0.004935552
ef2_motif_pos0_A,0.004900909
molecular_weight,0.004763463
ef2_motif_pos0_T,0.004607026
pct_E,0.004503316
instability_index,0.0044840192
ef2_motif_pos0_P,0.0044078575
ef2_motif_pos2_R,0.004363442
ef3_motif_pos2_R,0.0043450957
pct_T,0.0042223153
ef4_motif_pos0_MISSING,0.004142994
acidic_basic_ratio,0.0040900535
ef1_motif_pos0_P,0.0039210296
is_lanthanide,0.0038710467
ef3_motif_pos0_P,0.0038436947
hydrophobicity_pct,0.003752546
ef_hand_span_fraction,0.0037256586
ef2_motif_pos2_G,0.003712732
ef1_motif_pos2_S,0.0036423348
ef3_motif_pos2_S,0.0035224364
ef1_motif_pos2_N,0.003314001
ef3_motif_pos0_MISSING,0.0031591055
pct_R,0.0030098013
ef4_motif_pos0_A,0.0028859898
ef1_motif_pos0_T,0.0028649135
ef4_motif_pos5_K,0.0027600818
ef3_motif_pos0_G,0.0026683293
ef1_motif_pos5_N,0.0026093372
ef2_motif_pos0_MISSING,0.0023854505
ef1_motif_pos2_MISSING,0.002345698
ef4_motif_pos5_T,0.0020694528
ef1_motif_pos0_MISSING,0.0020529013
ef1_motif_pos2_R,0.0020265717
ef2_motif_pos5_T,0.0019809823
ef2_motif_pos0_L,0.0019147901
ef2_motif_pos2_MISSING,0.001887634
ef2_motif_pos2_K,0.0018249234
ef1_motif_pos0_G,0.001771965
ef4_motif_pos2_MISSING,0.0017407815
ef2_motif_pos0_K,0.0017170871
ef1_motif_pos2_K,0.0017158024
ef1_motif_pos5_V,0.0017141498
ef_hand_mean_spacing,0.0016875424
ef1_motif_pos0_A,0.0012710706
ef1_motif_pos5_K,0.0012523897
ef2_motif_pos5_S,0.0011147473
ef1_motif_pos2_Q,0.0010937343
ef3_motif_pos5_T,0.0010919867
ef3_motif_pos2_K,0.0008207352
ef3_motif_pos0_K,0.0007762628
ef4_motif_pos2_R,0.000702536
ef3_motif_pos2_N,0.0006306051
ef1_motif_pos5_S,0.00053961464
ef1_motif_pos0_K,0.0005229957
ef1_motif_pos2_D,0.00047230802
ef2_motif_pos0_V,0.00040058803
ef1_motif_pos0_I,0.00037212114
ef2_motif_pos0_G,0.00031828732
ef1_motif_pos5_D,0.00031681696
ef4_motif_pos2_A,0.00031236163
ef3_motif_pos5_K,0.0002128918
ef1_motif_pos2_A,0.00019479387
ef1_motif_pos0_S,0.00017263393
ef2_motif_pos5_D,0.00016408946
ef1_motif_pos0_R,0.00011839839
ef3_motif_pos0_T,6.2051346e-05
ef4_motif_pos2_P,0.0
ef4_motif_pos2_G,0.0
ef3_motif_pos2_M,0.0
ef3_motif_pos5_D,0.0
oxidation_state,0.0
ef3_motif_pos5_MISSING,0.0
has_four_ef_hands,0.0
ef3_motif_pos2_G,0.0
ef4_motif_pos0_L,0.0
ef3_motif_pos2_A,0.0
ef_hand_count,0.0
ef3_motif_pos0_V,0.0
ef1_motif_pos2_T,0.0
ef1_motif_pos5_A,0.0
ef4_motif_pos2_D,0.0
ef1_motif_pos5_I,0.0
ef4_motif_pos2_H,0.0
ef4_motif_pos2_T,0.0
ef3_motif_pos0_S,0.0
ef3_motif_pos0_R,0.0
ef2_motif_pos2_D,0.0
ef2_motif_pos2_E,0.0
ef2_motif_pos2_L,0.0
ef2_motif_pos2_Q,0.0
ef3_motif_pos0_N,0.0
ef2_motif_pos5_K,0.0
ef2_motif_pos5_MISSING,0.0
ef4_motif_pos5_MISSING,0.0
ef3_motif_pos2_Q,0.0
ef4_motif_pos5_E,0.0
ef4_motif_pos5_D,0.0
ef4_motif_pos5_A,0.0
ef3_motif_pos2_P,0.0
